iso3,year,country,pm25,total_emissions_kt_unfccc,ln_pm25,ln_total_unfccc
IRL,2015,Ireland,7.025999999999999,639108.67075,1.949617553843635,13.367829782671986
IRL,2016,Ireland,8.866666666666667,656586.52916,2.1822989271195437,13.39480976778678
IRL,2017,Ireland,7.332857142857143,660682.83215,1.9923652275168984,13.401029173345583
IRL,2018,Ireland,7.87125,649985.5935,2.0632168808208156,13.384705477780045
IRL,2019,Ireland,8.896153846153847,630260.44477,2.1856190312159116,13.353888417336487
ISL,2010,Iceland,7.735,111645.60307,2.0457554840250296,11.623084875122483
ISL,2014,Iceland,7.640000000000001,110047.07143,2.0333976031784293,11.608663475332916
ISL,2015,Iceland,6.43,111743.48534,1.860974538249528,11.623961214042714
ISL,2016,Iceland,6.695,112397.40431,1.9013609791431358,11.62979612284767
ISL,2017,Iceland,5.2,114256.69066000001,1.6486586255873816,11.646202868617282
ISL,2018,Iceland,4.333333333333333,115643.53916,1.466337068793427,11.658267800642935
ISL,2019,Iceland,3.9879999999999995,112859.3836,1.3832898520995918,11.633897929874333
ITA,2010,Italy,20.088117647058823,5764153.39623,3.000128478422106,15.567168848556248
ITA,2013,Italy,18.26977777777778,4946652.94708,2.9052482070853887,15.414221733530205
ITA,2014,Italy,16.104313725490197,4696957.48375,2.779087169362972,15.362425513179788
ITA,2015,Italy,18.68425414364641,4816232.85391,2.927681144754932,15.387502614866337
ITA,2016,Italy,16.37331550802139,4755357.88464,2.795652906490709,15.374782516037884
ITA,2017,Italy,17.186587677725118,4821277.30937,2.8441292934492464,15.388549452863954
ITA,2018,Italy,15.28847926267281,4600541.03663,2.727099555391712,15.341684471201722
ITA,2019,Italy,14.4304,4490544.18486,2.6693370924293065,15.317484451675064
LTU,2010,Lithuania,15.856666666666667,146286.67323000001,2.7635900217760803,11.893323490787994
LTU,2013,Lithuania,15.086000000000002,148550.36725,2.713767161431439,11.90867935311927
LTU,2014,Lithuania,14.290000000000001,153813.15949,2.659559991941776,11.943493894747137
LTU,2015,Lithuania,12.479999999999999,167254.67109,2.5241273629412815,12.027272906389712
