country,year,pm25,iso3,total_emissions_kt,ln_pm25,ln_total_emissions_kt
Ireland,2018,7.87125,IRL,69998.09,2.0632168808208156,11.156223234944948
Ireland,2019,8.896153846153847,IRL,67822.11,2.1856190312159116,11.124643526962108
Italy,2010,20.088117647058823,ITA,481781.11,3.000128478422106,13.085245161254395
Italy,2013,18.26977777777778,ITA,415242.38,2.9052482070853887,12.93661767691584
Italy,2014,16.104313725490197,ITA,393484.62,2.779087169362972,12.882797260942333
Italy,2015,18.68425414364641,ITA,401771.67,2.927681144754932,12.903639221161905
Italy,2016,16.37331550802139,ITA,399801.31,2.795652906490709,12.898722977681388
Italy,2017,17.186587677725118,ITA,414043.41,2.8441292934492464,12.933726102383007
Italy,2018,15.28847926267281,ITA,388460.25,2.727099555391712,12.869946126952822
Italy,2019,14.4304,ITA,380439.16,2.6693370924293065,12.849081548624165
Japan,2010,10.642857142857142,JPN,1229192.8,2.3648889763302003,14.02186825175304
Japan,2011,16.8,JPN,1281621.09,2.8213788864092133,14.063636311153344
Japan,2012,14.558666666666666,JPN,1321698.39,2.6781864634837103,14.094428126616988
Japan,2014,14.850666666666665,JPN,1294776.55,2.698044757619258,14.073848689965063
Japan,2018,11.471333333333332,JPN,1186906.06,2.439851169662856,13.986860529769197
Kazakhstan,2018,32.25,KAZ,404504.77,3.4735180432417816,12.910418807747371
Kazakhstan,2019,21.77,KAZ,367057.5,3.080532875246456,12.813273790513662
Latvia,2010,21.49,LVA,9828.95,3.067587710654419,9.193087391566205
Latvia,2013,14.100000000000001,LVA,8299.43,2.6461747973841225,9.02394211672768
Latvia,2014,16.716,LVA,12116.74,2.816366344585669,9.402343246544842
Latvia,2015,16.195,LVA,10903.67,2.7847025526232927,9.296854708795143
Latvia,2016,13.797999999999998,LVA,9081.94,2.6245236541239167,9.114043105161729
Latvia,2017,12.712,LVA,7666.45,2.542546429234415,8.944608944974267
Latvia,2018,14.168000000000001,LVA,10658.02,2.6509859004805323,9.274067939379643
Latvia,2019,11.434000000000001,LVA,8838.97,2.4365913728417796,9.086925633006087
Lithuania,2010,15.856666666666667,LTU,10376.21,2.7635900217760803,9.247270964804581
Lithuania,2013,15.086000000000002,LTU,10373.87,2.713767161431439,9.247045423504508
Lithuania,2014,14.290000000000001,LTU,11071.61,2.659559991941776,9.312139453248632
Lithuania,2015,12.479999999999999,LTU,12201.64,2.5241273629412815,9.40932564791646
Lithuania,2016,11.041666666666666,LTU,13084.87,2.4016759956382767,9.479211879874772
Lithuania,2017,11.74,LTU,13793.28,2.4630018143999504,9.531936796021725
Lithuania,2018,13.672,LTU,14430.51,2.6153499458132896,9.57709999417871
Lithuania,2019,13.163999999999998,LTU,14361.95,2.5774858310810935,9.572337627254928
Luxembourg,2010,14.073333333333332,LUX,11953.65,2.6442817537520646,9.388791950053104
Luxembourg,2013,15.933333333333332,LUX,10767.47,2.7684133508293005,9.284284830762322
Luxembourg,2014,11.736666666666666,LUX,10362.84,2.4627178444988513,9.245981609520493
Luxembourg,2015,11.583333333333334,LUX,9944.67,2.4495672833426916,9.20479200823375
Luxembourg,2016,11.103333333333333,LUX,9609.5,2.4072453635374784,9.17050747147446
Luxembourg,2017,9.84,LUX,9880.3,2.286455711064162,9.198298154653395
Luxembourg,2018,9.483333333333333,LUX,10322.12,2.24953587190423,9.242044444295038
Luxembourg,2019,7.986666666666667,LUX,10376.4,2.077773484579139,9.247289275754385
Malta,2010,14.983333333333333,MLT,2973.53,2.7069384722495196,7.997505078216318
Malta,2013,13.209999999999999,MLT,2797.55,2.580974118534234,7.936499313127341
Malta,2014,12.12,MLT,2803.03,2.4948569806411682,7.9384562539259225
Malta,2015,13.3125,MLT,2125.35,2.588703443469644,7.661691773678346
Malta,2016,11.8725,MLT,1843.16,2.47422480144114,7.519236768877205
Malta,2017,11.64,MLT,2029.44,2.454447442303292,7.615515171909927
Malta,2018,12.08125,MLT,2038.21,2.491654663974504,7.619827250672421
Malta,2019,11.8,MLT,2155.64,2.468099531471619,7.675842942205602
Netherlands,2010,16.920526315789473,NLD,219332.04,2.828527459828421,12.298342024965425
Netherlands,2013,14.3271875,NLD,200775.33,2.6621589560036543,12.209941800686241
Netherlands,2014,13.5278125,NLD,192501.91,2.604747751358299,12.167861354738674
Netherlands,2015,12.5436,NLD,199424.24,2.529210575344525,12.203189693815569
Netherlands,2016,10.841612903225805,NLD,199767.89,2.3833917767535953,12.204911421570529
Netherlands,2017,11.092058823529412,NLD,196083.74,2.406229430978688,12.1862970918675
Netherlands,2018,12.340625,NLD,190941.65,2.5128966654928773,12.159723162972737
Netherlands,2019,10.91125,NLD,185112.76,2.3897943670674224,12.128720431896058
New Zealand,2012,10.655,NZL,52539.63,2.3660292655505804,10.869323020961213
New Zealand,2014,10.025,NZL,52788.79,2.305081973192633,10.874054136547205
New Zealand,2015,7.800909090909091,NZL,52640.78,2.054240277020659,10.871246383518598
New Zealand,2016,8.94357142857143,NZL,50844.74,2.1909349980655977,10.836531954631674
New Zealand,2017,11.382222222222222,NZL,54027.34,2.432052683995105,10.897245493717982
Norway,2010,10.549999999999999,NOR,31090.79,2.3561258599220753,10.344666912829679
Norway,2013,8.92125,NOR,31674.2,2.18843607130314,10.363257748358944
Norway,2014,7.22,NOR,35700.81,1.9768549529047348,10.482928656585967
Norway,2015,6.521875,NOR,40980.48,1.8751619112834286,10.620851134755041
Norway,2016,6.5295000000000005,NOR,40127.31,1.876330370678325,10.599812428868681
Norway,2017,6.038333333333333,NOR,40229.7,1.7981280356789309,10.602360807794478
Norway,2018,7.0421875,NOR,39420.93,1.9519188463369308,10.582052172513658
Norway,2019,6.451612903225806,NOR,35669.36,1.8643301620628903,10.482047335943586
Poland,2010,29.421463414634147,POL,374274.66,3.3817244561059443,12.832745191894674
Poland,2013,24.482698412698415,POL,352920.38,3.197966680846221,12.773997758066733
Poland,2014,24.815303030303028,POL,347583.59,3.2114605205426403,12.75876046182284
Poland,2015,23.29514285714286,POL,354251.87,3.1482448777737964,12.777763436296933
Poland,2016,22.398028169014083,POL,357919.51,3.108972926817273,12.788063407702008
Poland,2017,22.874399999999998,POL,371614.38,3.1300183813093887,12.82561198269731
Poland,2018,23.2772,POL,372255.68,3.14747434071554,12.827336208992639
Poland,2019,18.734772727272727,POL,368091.86,2.930381301255216,12.816087805566506
Portugal,2010,8.046,PRT,62968.71,2.0851750735275965,11.05039321532726
Portugal,2013,6.382857142857143,PRT,64139.14,1.8536158251456867,11.068810064987627
Portugal,2014,7.62,PRT,58925.99,2.030776369698555,10.98403752868144
Portugal,2015,9.849285714285715,PRT,64396.21,2.2873989362383913,11.072810059428983
Portugal,2016,7.197692307692307,PRT,67402.56,1.9737604618262847,11.118438278374938
Portugal,2017,9.309166666666666,PRT,92875.88,2.2309995777947567,11.439019257076113
Portugal,2018,7.857777777777778,PRT,64268.07,2.0615038409931685,11.070818208351653
Portugal,2019,6.546428571428572,PRT,59616.97,1.8789196446704555,10.995695544068733
Romania,2010,15.781578947368422,ROU,89434.38,2.758843370448078,11.401260450994306
Romania,2013,16.054,ROU,78752.75,2.775958039709385,11.274068476713088
Romania,2014,14.504285714285714,ROU,67009.77,2.674444172257818,11.112593708637792
Romania,2015,16.768333333333334,ROU,66802.03,2.8194921870759044,11.109488748284551
Romania,2016,16.232499999999998,ROU,62748.75,2.7870154054005045,11.046893936476893
Romania,2017,19.143333333333334,ROU,67825.97,2.9519545262080955,11.12470043893611
Romania,2018,18.269166666666667,ROU,71029.08,2.9052147572350737,11.170844649634287
Romania,2019,15.9575,ROU,67540.15,2.7699289381480754,11.120477514843222
