iso3,country,ln_yll,ln_pm25
DEU,Germany,-1.2729656758128873,2.338273935402553
GHA,Ghana,1.1118575154181303,4.007333185232471
GRC,Greece,-2.659260036932778,2.698673039289613
GRC,Greece,-2.659260036932778,2.3045830956567186
GRC,Greece,-1.5606477482646683,2.836233987400137
GRC,Greece,-1.5606477482646683,2.8008572506884164
GRC,Greece,-1.5606477482646683,2.8094026953624973
GRC,Greece,-1.5606477482646683,2.8236382369154724
GTM,Guatemala,-0.9675840262617056,3.7106409458954492
GTM,Guatemala,1.4609379041156563,2.6390573296152584
HND,Honduras,0.7514160886839212,3.58351893845611
HUN,Hungary,-0.2231435513142097,3.0746589741077917
HUN,Hungary,-0.2231435513142097,2.834584951991443
HUN,Hungary,1.2725655957915476,2.315501318260592
HUN,Hungary,1.2725655957915476,2.6979998652487085
HUN,Hungary,1.2725655957915476,2.9219960271734773
HUN,Hungary,1.2725655957915476,2.694916714140813
ISL,Iceland,-2.659260036932778,2.0457554840250296
ISL,Iceland,-1.3093333199837622,1.9013609791431358
ISL,Iceland,-1.3093333199837622,1.6486586255873816
ISL,Iceland,-1.3093333199837622,1.466337068793427
ISL,Iceland,-1.3093333199837622,1.3832898520995918
IND,India,-0.6539264674066639,3.6734145968559346
IND,India,-0.6539264674066639,3.671487145470951
IND,India,-0.6539264674066639,3.756612182360303
IND,India,-0.6539264674066639,3.6796361081365405
IDN,Indonesia,2.21046980408624,2.833213344056216
IDN,Indonesia,1.8656293177945105,3.753027273937688
IDN,Indonesia,1.8656293177945105,3.4031953843248286
IDN,Indonesia,1.8656293177945105,3.71965111278069
IDN,Indonesia,1.8656293177945105,3.836221292011864
Iran (Islamic Republic of),Iran (Islamic Republic of),1.4539530095937054,3.8766030601968855
Iran (Islamic Republic of),Iran (Islamic Republic of),1.4539530095937054,3.58624669622135
Iran (Islamic Republic of),Iran (Islamic Republic of),1.4539530095937054,3.8027660194911963
Iran (Islamic Republic of),Iran (Islamic Republic of),0.7030975114131134,3.4620448888545177
Iran (Islamic Republic of),Iran (Islamic Republic of),0.7030975114131134,3.6099038851785954
Iran (Islamic Republic of),Iran (Islamic Republic of),0.7030975114131134,3.3997060741372285
Iran (Islamic Republic of),Iran (Islamic Republic of),0.7030975114131134,3.17415038848847
Iran (Islamic Republic of),Iran (Islamic Republic of),3.4704124506836282,3.2979087921562247
IRQ,Iraq,-0.030459207484708574,3.7690759961082128
IRL,Ireland,-2.120263536200091,2.4388627112865935
IRL,Ireland,-2.120263536200091,2.3865585267702243
IRL,Ireland,-1.3862943611198906,2.1822989271195437
IRL,Ireland,-1.3862943611198906,1.9923652275168984
IRL,Ireland,-1.3862943611198906,2.0632168808208156
IRL,Ireland,-1.3862943611198906,2.1856190312159116
ISR,Israel,-2.4079456086518722,3.0543486883213227
ISR,Israel,-2.4079456086518722,3.0991197914996755
ITA,Italy,-2.995732273553991,3.000128478422106
ITA,Italy,-2.995732273553991,2.9052482070853887
ITA,Italy,-2.8134107167600364,2.795652906490709
ITA,Italy,-2.8134107167600364,2.8441292934492464
ITA,Italy,-2.8134107167600364,2.727099555391712
ITA,Italy,-2.8134107167600364,2.6693370924293065
JPN,Japan,-0.5978370007556204,2.3648889763302003
JPN,Japan,-0.5978370007556204,2.8213788864092133
JPN,Japan,-0.5978370007556204,2.6781864634837103
JPN,Japan,-0.5621189181535413,2.439851169662856
JOR,Jordan,-2.0402208285265546,3.2895206644375325
