Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Russian Federation,"3,089,163.44","3,089,163.44","2,969,236.85","2,481,680.17","2,286,900.94","1,940,655.87","1,811,559.52","1,693,785.73","1,500,686.28","1,459,645.77","1,444,050.24","1,421,744.11","1,404,382.37","1,358,516.06","1,386,494.14","1,408,500.41","1,430,913.66","1,490,744.16","1,471,162.34","1,463,363.81","1,255,332.96","1,321,327.29","1,425,390.51","1,439,469.57","1,429,172.92","1,380,210.77","1,450,053.37","1,418,657.76","1,479,737.13","1,567,952.66","1,586,015.70","1,503,549.95","1,650,019.08",-46.59%
Slovakia,"64,405.87","64,405.87","54,176.43","47,823.96","44,650.87","42,652.70","43,693.03","43,596.79","43,626.53","41,855.22","41,430.89","39,590.85","42,543.94","40,678.20","41,351.38","42,039.41","45,916.29","42,583.12","41,304.39","42,914.84","38,882.37","40,553.89","39,276.25","35,790.11","34,700.13","34,907.75","35,113.75","35,489.60","36,694.59","37,525.00","34,440.93","29,492.56","33,568.66",-47.88%
Slovenia,"15,842.07","14,403.09","12,700.24","12,568.57","12,804.01","13,032.09","13,727.26","13,754.34","14,083.10","13,536.55","12,884.62","12,568.63","13,791.50","12,952.96","12,928.29","13,201.21","13,418.80","13,591.94","13,464.52","14,438.57","12,327.48","12,631.15","12,648.31","12,076.27","13,074.68","17,435.15","17,720.91","18,746.76","18,819.90","18,735.36","13,860.01","12,832.05","13,000.72",-17.94%
Spain,"253,814.28","253,814.28","261,369.91","270,608.59","259,342.48","276,732.54","290,576.25","281,301.92","295,436.20","304,316.70","326,925.70","339,879.56","336,738.08","356,375.70","364,050.48","378,957.54","394,377.96","385,336.34","398,664.57","365,116.79","328,155.12","310,507.42","311,071.32","306,463.85","280,190.48","279,804.26","289,064.89","276,861.91","289,396.86","282,765.69","264,584.78","228,149.60","244,325.83",-3.74%
Sweden,"25,142.83","25,142.83","25,520.46","26,170.77","30,379.99","31,342.63","30,685.79","32,025.64","26,335.70","26,133.26","22,630.53","20,143.14","20,033.10","21,644.82","24,764.66","26,515.55","23,155.75","15,774.65","16,724.57","14,586.20","10,475.82","14,087.65","8,844.01","5,856.79","6,017.48","5,804.53","7,145.30","8,252.00","13,772.65","16,333.48","12,351.60","4,927.41","6,105.87",-75.72%
Switzerland,"53,170.09","53,170.09","51,926.78","52,558.95","49,705.16","49,942.99","50,023.17","49,012.24","49,492.48","51,971.24","52,178.77","59,103.95","54,531.05","51,220.41","52,318.42","52,832.84","53,198.94","53,836.83","52,981.47","53,152.43","50,567.22","52,499.63","50,202.89","49,999.90","51,618.73","49,264.36","46,949.06","47,231.92","46,559.43","45,653.89","44,704.05","42,363.06","43,260.64",-18.64%
Türkiye,"153,015.20","153,015.20","159,421.58","165,658.91","174,168.63","166,374.20","180,483.15","200,453.45","208,365.33","209,706.76","206,584.48","230,865.09","208,956.56","216,341.82","233,636.15","244,736.92","265,796.56","286,547.50","319,917.30","320,577.81","324,327.65","326,912.69","353,035.73","374,799.35","363,707.48","382,612.02","402,160.97","427,997.61","453,606.79","453,355.79","446,005.59","467,043.21","517,243.99",238.03%
Ukraine,"911,393.97","911,393.97","816,832.08","761,954.26","678,270.15","567,927.51","529,982.34","487,696.77","477,165.15","452,814.71","418,752.55","405,004.99","428,631.82","416,233.25","419,058.42","433,545.64","433,455.73","448,037.29","449,344.36","451,991.11","385,785.27","398,348.95","437,358.73","422,863.48","428,229.92","382,823.46","338,908.73","361,957.60","336,726.31","364,731.32","357,449.86","317,632.04","341,489.13",-62.53%
United Kingdom of Great Britain and Northern Ireland,"817,454.32","817,454.32","825,813.54","804,700.09","785,148.47","772,526.13","766,462.63","786,184.49","761,472.91","759,255.33","730,371.90","730,246.29","732,743.22","710,728.18","716,018.63","711,783.83","703,077.06","695,269.33","682,762.62","660,627.04","603,716.73","617,481.95","571,393.77","587,662.05","573,318.94","532,315.18","514,969.71","489,458.29","477,763.27","469,377.03","455,063.02","410,224.04","430,653.74",-47.32%
United States of America,"5,606,376.53","5,606,376.53","5,531,222.09","5,652,355.92","5,776,447.20","5,871,586.58","5,973,118.28","6,157,175.36","6,229,354.09","6,274,639.20","6,328,900.89","6,533,374.78","6,410,951.95","6,496,664.71","6,524,558.97","6,754,775.29","6,696,263.74","6,589,491.65","6,737,347.32","6,531,127.30","6,120,284.54","6,307,176.80","6,115,978.54","5,884,941.23","6,092,439.67","6,129,688.87","6,065,495.12","5,763,094.60","5,787,628.43","5,989,701.89","5,913,871.79","5,249,805.28","5,586,003.26",-0.36%
